0,1,2,3,4,5,6,7,8,9
,Table A 1:  Typical Fuel Gas Compositions of Selected Gasifier Technology (% by vol),,,,,,,,
,Texaco,E-Gas,Shell,Prenflo,KRW,ATG,GTI,FERCO,BGL
,TECO,Wabash,Demkolec,Puertollano,Piñon,EERC/,Renugas,Silvagas,SVZ
,,,,,Pine,PSDF,Calla,Vermont,
CO,42.7,45.3,63.4,60.5,23.9,11.3,15.3,40.4,59
H2,38.3,34.4,28.4,22.1,14.5,19.5,14.8,5.1,27
CO2,14.4,15.8,1.5,3.9,5.5,16.7,12.3,,3
CH4,0.1,1.9,0.4,0.0,1.4,3.2,2.6,11.8,7
H2O,0.3,,,,5.5,0.0,13.9,42.6,
N2,3.3,1.9,6.2,12.5,48.6,47.5,40.5,,4
Ar,0.9,0.6,,1.0,0.6,1.2,,,
H2S,200 ppm,68 ppm,20 ppm,6 ppm,20 ppm,.18,190 ppm,,1 ppm
COS,10 ppm,,,6 ppm,0 ppm,,,,
NH3,0 ppm,0 ppm,0 ppm,0 ppm,200 ppm,0.11,2000 ppm,,0 ppm
