0,1,2,3,4,5,6,7
Biochar,"C*
(%)","N
(%)","O
(%)","H
(%)",O/C,H/C,(O+N)/C
R300,45.22±0.46,1.47±0.06,23.41±0.35,4.94±0.13,0.52,0.11,0.55
R500,52.60±1.06,1.35±0.04,15.57±0.24,2.15±0.07,0.30,0.04,0.32
R700,56.00±0.87,1.18±0.04,11.38±0.10,1.29±0.09,0.20,0.02,0.22
