0,1,2,3,4,5,6,7,8,9
,"Ethiop. J. Sci. & Technol. 11(3): 195-222, 2018",,,,,,,,
,,,,,,,,,209
,Table 2. Proximate and ultimate analysis of feed used in simulation,,,,,,,,
Feed stocks,,"Proximate analysis (weight %, dry base)",,,,"Ultimate analysis (weight %, dry base)",,,
,Moisture,Fixed,Volatile,Ash,Carbon,Hydrogen,Oxygen,Nitrogen,Sulfur
,content,carbon,matter,,,,,,
Coffee husk,9.65,28.28,58.37,3.7,43.39,6.37,45.08,1.41,0.05
Rice husk,6.15,13.98,65.04,14.83,35.36,4.83,44.68,0.21,0.09
Figure 2. The effect of temperature on the syngas composition (A) for coffee bean husk and (B) for rice husk,,,,,,,,,
