0,1,2
Species,Mass fraction,Mole fraction
CH4,0.02640,0.04586
H2,0.00519,0.07175
CO2,0.24403,0.15453
H2O,0.01289,0.01994
CO,0.17435,0.17346
C2H2,0.00186,0.00199
C2H4,0.02007,0.01994
N2,0.51521,0.51254
