0,1,2,3,4,5,6,7
Samples,Proximate analysis (wt %),,,,Lignocellulosic content (wt %),,
,Moisture,,Volatiles matter  Fixed Carbon,Ash,Cellulose,Hemicellulose,Lignin
RS,6.94±0.22,63.4±0.2,19.7±0.5,9.93±0.21,34.9±0.7,23.4±0.5,23.5±0.3
CS,11.6±0.6,65.2±0.5,19.3±0.3,3.88±0.12,35.6±2.0,20.2±1.5,22.9±0.4
WS,11.7±0.4,60.6±0.5,19.8±0.7,7.81±0.31,32.6±1.6,22.2±1.4,24.1±0.2
