0,1,2,3,4,5,6,7
,inlet sulfur concentration given in the last column of Table 6.7.,,,,,,
,,Table 6.7. Reforming Scenarios Tested.,,,,,
,H2O/C,O/C,F_i-C8H18,F_H2O,F_O2,F_N2,[S]0
Scenario,Ratio,Ratio,(mmole/min),(mmole/min),(mmole/min),(mmole/min),(ppmv)
Base,1,0.75,3.187,25.496,9.561,35.642,4.500
Case,,,,,,,
Elevated,1,1,2.644,21.150,10.576,39.426,3.736
O,,,,,,,
Pure,0,0.75,4.850,-,14.550,54.241,6.855
POX,,,,,,,
Elevated,3,0.75,1.822,45.172,5.466,20.377,2.667
Steam,,,,,,,
Pure SR,3,0,1.822,45.172,-,25.843,2.667
