0,1,2,3,4,5
,Table 4. Pyrolysis-dry Reforming of Different Plastics in the Presence of Ni-Co-,,,,
,Al Catalyst and Carbon Dioxide (catalyst temperature 800 °C and CO2 flow rate,,,,
of 6.0 g h1),,,,,
Plastic type,HDPE,LDPE,PP,PS,PET
Product yield (wt. %),,,,,
Gas,94.8,98.3,90.6,97.1,94.3
Liquid,2.4,0.3,2.5,2.4,1.0
Residue,-,-,1.7,1.0,4.0
Carbon deposition,-,0.9,1.0,4.3,-
Mass balance,97.2,99.5,95.8,104.8,99.3
