0,1,2,3,4,5,6,7,8,9,10
,10,11,12,13,14,15,16,17,18,19
Temperature (°C),"1,195",371,143,143,143,155,149,149,21,95
Pressure (bar),0.90,0.86,0.85,0.83,0.83,0.90,0.85,0.83,0.90,152.72
Mass Flow (kg/h),"12,375","2,848,810","2,848,810","1,375","2,847,440","2,847,440","798,748","13,146","540,654","536,557"
Enthalpy (kJ/kg),-722,243,3,"-1,914",4,16,"-9,592",-639,"-8,852","-8,871"
Vapor-Liquid Components (kg/h),,,,,,,,,,
CO2,0,"14,206","14,206",0,"14,206","14,206","590,783",0,"525,104","525,104"
H2,0,0,0,0,0,0,0,0,0,0
H2O,0,"15,809","15,809",0,"15,809","15,809","182,857",0,"4,959",863
N2,0,"2,462,999","2,462,999",0,"2,462,999","2,462,999","2,315",0,"2,058","2,058"
O2,0,"309,488","309,488",0,"309,488","309,488","5,155",0,"4,582","4,582"
Ar,0,"42,118","42,118",0,"42,118","42,118",0,0,0,0
SO2,0,366,366,0,366,366,"4,414",0,"3,913","3,912"
Solid Components (kg/h),,,,,,,,,,
Fe,0,0,0,0,0,0,0,0,0,0
Fe0.947O,0,0,0,0,0,0,0,0,0,0
Fe3O4,0,0,0,0,0,0,0,0,0,0
Fe2O3,746,83,83,83,0,0,0,0,0,0
Fe0.877S,0,0,0,0,0,0,0,0,0,0
Al2O3,746,83,83,83,0,0,0,0,0,0
C,0,0,0,0,0,0,"1,054","1,054",0,0
Coal,0,0,0,0,0,0,0,0,0,0
Ash,"10,882","1,209","1,209","1,209",0,0,"12,092","12,092",0,0
