0,1,2,3,4,5,6,7
,Table A-5. Design Coal Analysis for Sofia Coal Mines,,,,,,
"C
oal Properties, guaranteed values",,,,,"As-Burned, %","Moisture-Free, %","Moisture- and Ash-Free, %"
"M
oisture",,,,,49.00–51.09,–,–
"A
sh",,,,,18.40–19.19,39.23,–
"L
ower Heating Value, kcal/kg (Btu/lb)",,,,,1431  (2576),,
"H
igher Heating Value, kcal/kg (Btu/lb)",,,,,1789  (3219),3507  (6312),5486  (9875.2)
"C
arbon",,,,,18.20–18.98,38.81,63.86
"H
ydrogen",,,,,1.50–1.56,3.20,5.26
"O
xygen",,,,,7.10–7.40,15.14,24.91
"N
itrogen",,,,,0.40–0.42,0.85,1.40
"S
ulfur",,,,,1.30–1.36,2.77,4.56
"T
otals",,,,,95.90–100.00,100.00,100.00
E,mission Parameters – Standards for Plants > 50 MW,,,,"% Control   
SO2",NOx,"Ash Particulate 
% Control"
"U
 E
ll d E
i
i
(
i
100%",i,d),lb/MMB,(HHV)*,8 42,,59 60
,"mission Standard for New Plants after 1992, lb/MMBtu (HHV)",,,,"0.48 
94.3",0.45,"0.15 
99.75"
S,"tandard for Old Plants on Bulgarian Coal, lb/MMBtu (HHV)",,,,"2.60 
69.1",0.74,"0.07 
99.88"
S,"tandard for Old Plants on Imported Coal, lb/MMBtu (HHV)",,,,"1.48 
82.4",0.97,"0.06 
99.90"
"A
sh Properties",,,,,Analysis,Median,
"C
omposition, % Ash",,,,,,,
SiO2,,,,,15–35,25.0,
"A-11  
  
  Al2O3",,,,,8–12,10.0,
Fe2O3,,,,,5–12,8.5,
CaO,,,,,15–60,37.5,
MgO,,,,,1–3,2.0,
Na2O,,,,,NA**,NA,
K2O,,,,,NA,NA,
SO3,,,,,10–20,15.0,
A,"sh Fusion, Leitz in Oxidizing Atmosphere, °C (°F)",,,,,,
