0,1
Table 1.  Default Composition of Fuel Gas (mole fractions),
H2O,0.1
CO2,0.1
H2,0.15
CO,0.15
CH4,0.03
Ar,0.005
NH3,0.001
C10H8 (naphthalene),0.0005
N2,0.4635 (balance)
