0,1,2
,"model is based on minimising the Gibbs free energy in the system (Werle, 2011; Werle, 2012).",
Table 2. Molar composition of the analysed sewage sludge,,
,Reburning fuels,
Compound,,
vol.%,,
,Syngas1 (ss1),Syngas2 (ss2)
H2,11.0,6.0
CO,24.0,27.0
CH4,2.0,9.0
N2,46.0,41.0
O2,4.0,4.0
CO2,9.0,9.0
H2O,4.0,4.0
