0,1,2
,900,
,800,
,700,
,600,
,500,
mperature (C),,Bed 1 Temp
,,Bed 2 Temp
,400,Pre‐Reactor 1 Temp
e,,
T,,
,,Pre‐Reactor 2 Temp
,300,Chiller Temp
,200,
,100,
