0,1,2,3,4,5,6,7
,Table 10. Typical Fuel Gas Composition of Selected Gasifier Technologies,,,,,,
,Texaco,,,,KRW,GTI,FERCO
,Tampa,E-Gas,Shell,Prenflo,Piñon,U-Gas,SilvaGas
,Electric,Wabash,Demkolec,Puertollano,Pine,Calla,Vermont
"CO, mol%",42.7,45.3,63.4,60.5,23.9,15.3,
"H2, mol%",38.3,34.4,28.4,22.1,14.5,14.8,40.4
"CO2, mol%",14.4,15.8,1.5,3.9,5.5,12.3,5.1
"CH4, mol%",0.1,1.9,0.4,0.0,1.4,2.6,
"H2O, mol%",0.3,,,,5.5,13.9,11.8
"N2, mol%",3.3,1.9,6.2,12.5,48.6,40.5,42.6
"Ar, mol%",0.9,0.6,,1.0,0.6,,
"H2S, ppm",200,68,20,6,20,190,
