0,1,2,3,4,5,6,7,8,9,10
Cp Btu/lbmol-F,,10.95,,10.40,,8.58,,8.22,,7.78
,,mole,,mole,,mole,,mole,,mole
Components,lb-mole/hr,fraction,lb-mole/hr,fraction,lb-mole/hr,fraction,lb-mole/hr,fraction,lb-mole/hr,fraction
Hydrogen,10.71,.077,35.59,.106,0,0,0,0,0,0
Methane,40.65,.292,0.10,.000,0,0,0,0,0.15,.000
Carbon Monoxide,0.02,.000,16.49,.049,0,0,0,0,0,0
Carbon Dioxide,3.41,.024,145.06,.433,161.71,.143,43.47,.046,44.03,.046
Water,83.94,.603,137.52,.410,181.65,.161,181.65,.191,184.05,.193
Nitrogen,0.55,.004,0.54,.002,642.04,.569,642.04,.675,642.05,.673
Oxygen,0,0,0,0,143.71,.127,84.59,.089,83.50,.088
