0,1,2,3,4,5,6,7,8,9,10
,Appendix 3: Kinetics results relevant to the water gas shift and CO2 hydrogenation reactions (continued),,,,,,,,,
,,,,,,,Age corrected,,,
,,,,WGS,Rate of CO2,,rate of CO2,Model,Model,Model predicted
Run,,,,appr.-to-,consumption,Aging,"consumption,",predicted,predicted,rate of WGS
ID #  Exit Gas Fugacity (atm),,,,eq.,RCO2,factor,"R0
CO2","R0
CO2",R15,R13
,H2,CO,"MeOH 
CO2 
H2O 
N2",(%),(mol/kg-hr),,(mol/kg-hr),(mol/kg-hr),(mol/kg-hr),(mol/kg-hr)
27,27.647,23.989,1.569  0.036  0.829  5.419,60.1,-0.07,1.00,-0.07,-1.06,1.69,-2.75
28,26.268,24.084,7.109  0.142  0.882  5.770,65.7,1.85,1.00,1.85,0.37,2.47,-2.10
29,11.359,34.761,2.066  0.010  0.604  3.447,77.4,-1.62,1.00,-1.62,-1.19,0.34,-1.53
30,18.167,37.589,2.720  0.027  0.860  3.990,58.0,-0.51,1.00,-0.51,-2.17,1.19,-3.36
31,44.406,10.144,5.740  0.513  0.781  4.701,58.8,8.34,1.00,8.34,6.66,8.27,-1.61
32,10.776,34.919,2.015  0.011  0.608  3.654,65.2,-1.47,1.00,-1.47,-2.28,0.15,-2.44
33,11.282,35.419,1.759  0.010  0.604  3.560,55.5,-0.43,1.00,-0.43,-0.46,0.15,-0.61
34,9.868,35.438,1.949  0.010  0.628  4.244,55.9,-0.49,1.00,-0.49,-0.54,0.04,-0.58
35,11.202,35.367,2.007  0.012  0.760  3.796,64.0,-1.28,1.00,-1.28,-2.40,0.18,-2.57
36,13.891,27.694,7.149  0.060  0.581  4.129,60.6,0.5,1.00,0.50,-0.08,0.35,-0.43
37,12.851,27.691,7.326  0.052  0.598  4.780,65.8,0.29,1.00,0.29,-0.15,0.21,-0.36
38,11.379,27.665,7.716  0.044  0.623  5.633,72.6,-0.17,1.00,-0.17,-0.19,0.08,-0.27
39,12.330,34.998,1.703  0.012  0.651  2.992,48.7,-0.58,1.00,-0.58,-0.50,0.24,-0.74
40,11.462,35.431,1.818  0.013  0.681  3.562,47.5,-0.52,1.00,-0.52,-0.62,0.13,-0.75
41,9.987,35.564,2.114  0.011  0.773  4.310,56.5,-0.77,1.00,-0.77,-0.52,0.05,-0.57
42,33.992,8.747,3.428  0.220  2.566  6.488,61.2,-0.25,1.00,-0.25,0.81,1.06,-0.25
43,33.152,8.270,3.154  0.149  2.986  7.763,85.7,0.33,1.00,0.33,0.75,0.82,-0.08
44,11.424,35.229,1.998  0.013  0.678  3.470,62.1,-1.34,1.00,-1.34,-2.45,0.25,-2.69
45,12.064,35.497,1.693  0.011  0.620  3.256,45.1,-0.21,1.00,-0.21,-0.03,0.10,-0.14
46,13.091,35.065,1.613  0.012  0.624  2.601,43.0,-0.21,1.00,-0.21,0.02,0.17,-0.15
47,10.325,35.796,1.869  0.009  0.698  4.230,48.6,-0.35,1.00,-0.35,-0.08,0.04,-0.13
48,14.871,27.258,6.838  0.059  0.556  3.375,53.8,0.36,1.00,0.36,0.19,0.28,-0.09
49,13.506,27.194,7.092  0.050  0.577  4.235,59.6,0.23,1.00,0.23,0.09,0.17,-0.07
50,11.368,27.411,7.503  0.038  0.616  5.608,69.0,0,1.00,0.00,0.01,0.07,-0.05
51,34.292,10.141,2.678  0.175  2.782  5.131,43.9,1.34,1.00,1.34,0.58,0.66,-0.08
52,33.144,9.083,2.926  0.162  2.976  7.062,55.8,0.55,1.00,0.55,0.37,0.42,-0.05
53,12.160,35.427,1.703  0.010  0.610  3.184,47.8,-0.21,1.00,-0.21,-0.02,0.11,-0.13
