0,1
Table 8.3: Principal output values.,
Parameter,Values
"((cid:137))
Tgasif",702
Producer gas composition,
(on a mole basis),
CO,23.93
CO2,10.49
N2,37.07
H2,20.88
CH4,3.58
H2O,4.03
Flowrate (kg/h),35.33
LHV (MJ/kg),"6,32"
CGE (%),68
Power GE (kWe),15.80
ηGE (%),25
ηBG−GE (%),17
Power STE (kWe),1.50
ηST E (%) (%),30
ηBG−GE with STE (%),19
Heat (kWth),6.89
"(%)
ηheat",8
ηGE with heat recovery (%),37
ηBG−GE with STE,
and heat recovery,27
Heat-to-power ratio,0.40
