0,1
Table 3-14 EnviRes Coal Specification,
,Kentucky #11 Coal
Proximate Analysis,
,Wt %
Moisture,7.07
"Ash, as recv'd",8.49
"Volatile, as recv'd",38.88
"Fixed C, as recv'd",45.56
Ultimate Analysis,Wt %
Carbon,66.37
Hydrogen,5.43
Nitrogen,1.33
Sulfur,4.06
Ash,8.49
Oxygen (by difference),14.31
Heating Value,Btu/lb
