0,1,2,3,4,5,6,7
Gasification,Types of coal,CO (%),H2 (%),CH4 (%),N2 (%),CO2 (%),"Calorific Value 
(MJ/m3)"
Coal,Brown Coal,16,25,5,40,14,6.28
,Bituminous,17.2,24.8,4.1,42.7,11,6.13
,Lignite,22,12,1,55,10,4.13
,Coke,29,15,3,50,3,6.08
Wood,,2.1,21,1.83,43,12,7.07
