0,1,2,3,4,5,6
,"Table 3. Influence of yield of DME various H2/CO, H2/CO2, and H2/(CO+CO2) ratios.",,,,,
CO route,,CO2 route,,,CO route with co-feeding CO2,
H2/CO,mol (mol CO)-1,H2/CO2,mol (mol CO2)-1,H2/CO,CO2/CO,mol (mol CO+CO2)-1
1,0.32,1,0.10,4,0.5,0.51
2,0.38,2,0.19,4,1.0,0.54
3,0.41,3,0.27,4,1.5,0.55
4,0.43,4,0.32,4,2.0,0.56
5,0.44,5,0.35,4,2.5,0.56
