0,1,2,3,4,5
Table 3. Pyrolysis-catalysis of Different Plastics in the Presence of Carbon,,,,,
Dioxide and No Catalyst (quartz sand in the 2nd stage at a temperature of 800 °C),,,,,
Plastic type,HDPE,LDPE,PP,PS,PET
Product yield (wt. %),,,,,
Gas,90.6,99.2,95.6,92.1,97.1
Liquid,2.0,0.6,0.6,1.3,2.9
Residue,0.2,0.1,1.4,0.9,4.1
Carbon deposition,2.8,3.4,4.9,8.5,0.8
Mass balance,95.6,103.3,102.5,102.8,104.9
