0,1,2,3,4,5,6,7,8,9,10
,10,11,12,13,14,15,16,17,18,19
Temperature (°C),"1,195",371,169,169,169,182,149,149,21,96
Pressure (bar),1.04,1.01,0.99,0.98,0.98,1.05,0.97,0.95,1.01,152.72
Mass Flow (kg/h),"9,005","1,938,690","1,938,690","1,001","1,937,690","1,937,690","589,157","10,897","416,417","413,700"
Enthalpy (kJ/kg),-644,167,-46,"-1,816",-45,-32,"-9,350",-553,"-8,855","-8,879"
Vapor-Liquid Components (kg/h),,,,,,,,,,
CO2,0,"15,400","15,400",0,"15,400","15,400","463,756",0,"405,639","405,639"
H2,0,0,0,0,0,0,0,0,0,0
H2O,0,"15,674","15,674",0,"15,674","15,674","105,429",0,"3,382",666
N2,0,"1,711,025","1,711,025",0,"1,711,025","1,711,025","2,567",0,"2,246","2,246"
O2,0,"158,203","158,203",0,"158,203","158,203","3,221",0,"2,817","2,817"
Ar,0,"29,043","29,043",0,"29,043","29,043",0,0,0,0
SO2,0,"6,777","6,777",0,"6,777","6,777","2,642",0,"2,306","2,306"
Solid Components (kg/h),,,,,,,,,,
Fe,0,0,0,0,0,0,0,0,0,0
Fe0.947O,0,0,0,0,0,0,0,0,0,0
Fe3O4,0,0,0,0,0,0,0,0,0,0
Fe2O3,509,57,57,57,0,0,0,0,0,0
Fe0.877S,0,0,0,0,0,0,0,0,0,0
Al2O3,509,56,56,56,0,0,0,0,0,0
C,0,0,0,0,0,0,"2,022","2,022",0,0
Coal,0,0,0,0,0,0,0,0,0,0
Ash,"7,988",888,888,888,0,0,"8,875","8,875",0,0
