0,1,2,3,4,5,6,7,8,9,10,11,12
Table 39. Flue Gas Emissions,,,,,,,,,,,,
Test No:,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12
Combustor Outlet,,,,,,,,,,,,
"O2, %",4.4,4.3,4.5,4.9,4.3,4.3,5.0,5.0,5.4,4.2,4.2,3.6
EA,26.5,25.9,27.4,30.2,25.9,25.3,31.3,31.2,34.8,25.0,25.3,19.9
Baghouse Outlet,,,,,,,,,,,,
"O2, %",4.8,4.7,6.0,5.5,5.0,4.6,5.1,5.3,5.6,4.4,4.7,4.3
EA,29.6,29.0,40.5,35.2,31.0,28.1,32.2,34.3,36.5,26.3,29.2,25.6
"CO Content, ppm",51,91,110,39,118,38,39,48,54,47,48,91
"CO Content,¹ ppm",47,84,110,38,110,35,37,46,53,42,44,82
"CO Emission, mg/Nm3 at 6% O2",59.0,104.9,137.7,47.1,138.1,43.5,46.0,57.5,65.7,53.0,55.3,102.1
"CO2 Content, %",15.6,15.7,14.8,15.2,15.3,15.5,15.5,15.4,15.3,16.0,16.1,16.0
"CO2 Content,¹ %",14.4,14.4,14.8,14.6,14.3,14.2,14.6,14.8,14.9,14.5,14.8,14.4
"NOx Content, ppm",139,78,134,107,110,107,116,114,80,126,155,106
"NOx Content,¹ ppm",129,72,134,103,103,98,110,109,78,114,143,95
"NOx Emission, mg/Nm3 at 6% O2",264.3,147.7,275.5,212.1,211.5,201.3,224.9,224.2,159.9,233.5,293.5,195.4
"SO2 Content, ppm",1355,1347,1251,1239,1346,1356,317,325,195,624,263,256
"SO2 Content,¹ ppm",1255,1242,1253,1196,1260,1243,299,311,190,563,242,230
"SO2 Emission, mg/Nm3 at 6% O2",3585,3548,3579,3417,3601,3550,855,889,542,1609,693,657
"SO2 Retention,² %",19.3,20.2,21.8,24.1,18.4,24.8,82.4,81.9,87.0,63.5,84.6,84.9
Ca/S ratio (ls³ only),0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0,1.1,4.9,8.2,6.8
Ca/S ratio (total),1.8,1.8,1.8,1.8,1.8,1.8,5.4,5.8,2.9,7.9,11.2,9.9
Ca Utilization (ls³ only),NA,NA,NA,NA,NA,NA,22.7,20.6,77.0,13.1,10.3,12.5
Ca Utilization (total),NA,NA,NA,NA,NA,NA,15.2,14.2,29.8,8.0,7.5,8.6
Alkali-to-Sulfur,2.1,2.1,2.1,2.1,2.1,2.0,5.6,6.0,3.1,8.1,11.4,10.1
Alkali Utilization,NA,NA,NA,NA,NA,NA,14.7,13.8,27.9,7.8,7.4,8.4
"Avg. Comb. Temp., °C",420,395,391,401,406,428,411,428,445,452,455,441
"Moisture in FG, vol%",21.6,21.6,21.6,21.6,21.6,22.2,22.3,22.3,22.8,22.7,19.6,26.0
"Fuel Carbon, %",15.3,15.3,15.3,15.3,15.3,14.8,14.8,14.8,16.4,15.8,15.8,12.1
"Fuel Sulfur, %",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.3
1 Corrected to 6% O2.,,,,,,,,,,,,
