0,1,2,3,4
Table 1. Elemental Analysis of the Waste Plastics,,,,
,N,C,H,O
,(wt.%),(wt.%),(wt.%),(wt.%)
HDPE,0.94,80.58,18.48,nd
LDPE,0.94,81.01,18.06,nd
PP,0.95,80.58,10.42,8.89
PS,0.86,86.19,12.43,0.52
PET,0.57,61.0,11.30,27.13
,nd = not detected,,,
