0,1
was performed using a LECO CHN6 28 analyzer and followed the ASTM D5373 Fuel Analysis method.,
The results of both the proximate and ultimate analyses of the MSW sample are presented in detail,
Table 2,
Proximate and ultimate test of MSW,
Proximate Analysis (%),Ultimate Analysis (%)
Moisture 6.73,C 64.6
Volatile 56.57,H 11.50
Fixed Carbon 14.24,O 18.03
Ash 22.45,N 0.52
LHV (cal/gr) 3065.937,S 0.05
