0,1,2,3,4,5,6
,Proximate analysis (% d.b.),,,Constituent polymers (% d.b.),,
,Volatile matter,Fixed carbon,Ash,Cellulose,Hemicellulose,Lignin
Japanese cedar,82.1,17.1,0.82,49.7,29.3,34.0
Castanopsis,82.9,16.4,0.71,44.5,30.4,27.2
Rice straw,77.3,13.9,8.83,36.4,49.3,18.4
