0,1
Syngas Composition,"Case 1 and 2, vol %"
Hydrogen,14.09
Carbon Monoxide,30.72
Carbon Dioxide,0.48
Methane,0.04
Hydrogen Sulfide,0.28
Carbonyl Sulfide,0.02
Ammonia,0.01
Hydrogen Cyanide,0.00
Hydrogen Chloride,0.00
Argon,0.14
Nitrogen,0.27
Water,53.95
Syngas Flow rate,"14,478.17 lbmol/hr"
