0,1,2
Table 46. North Dakota Lignite Default,,
Properties Used in the IECM Model Simulations,,
Property,ND Lignite,Bulgarian Lignite
Heating Value,6020,4039
Carbon,35.04,25.48
Hydrogen,2.68,2.56
Oxygen,11.31,10.02
Chlorine,0.09,0.06
Sulfur,1.16,0.94
Nitrogen,0.77,0.59
Ash,15.92,37.49
Moisture,33.03,22.9
Cost,15.28,15.00
