0,1,2,3,4,5,6,7,8,9
,,H2,CO,CO2,CH4,CO+CO2,H2/(CO+CO2),H2/CO,"Gas flow 
rate 
(NmL/min)"
"Beech 
wood","Composition 
(%)",27.0,21.3,18.0,10.6,39.3,0.7,1.27,23
,"Molar flow 
(mmol/min)",0.28,0.22,0.19,0.10,0.41,,,
Lignin,"Composition 
(%)",22.7,28.5,19.1,9.9,47.6,0.5,0.80,18
,"Molar flow 
(mmol/min)",0.18,0.23,0.15,0.08,0.38,,,
