0,1,2,3,4
Table 1.3. Noncatalytic gasification of pyrolysis oil in a fixed bed reactor.,,,,
,Modified from Panigrahi et al. [19].,,,
Gas composition,,Temperature (°C),,
"(mol%), 30 min run",650,700,750,800
H2,12.8,16.3,9.3,12.8
CO,17.0,9.2,6.5,7.7
CO2,2.5,3.4,2.1,2.6
CH4,19.2,21.6,23.2,9.0
C2-C3,37.9,40.4,46.9,40.3
C4+,10.1,9.1,12.0,9.0
,,Conversion of pyrolysis oil to products,,
,,"(wt%), 1 h run",,
Gas,32,38,51,51
Liquid (incl. H2O),39,37,19,17
Char,25,22,27,30
