0,1,2,3,4,5,6,7,8
Table 5.8: Feedstocks share used to validate the Aspen Hysys-Aspen Plus superstructure.,,,,,,,,
,C1,C2,C3,C4,C5,C6,C7,C8
Feedstock,,,,,,,,
share,,,,,,,,
Coal (%),100,58,54,50,45,39,0,50
Petcoke (%),0,42,46,50,55,61,100,40
Orujiilo (%),0,0,0,0,0,0,0,10
Ultimate,,,,,,,,
analysis (ar),,,,,,,,
C,40.30,59.76,61.61,63.46,65.78,68.56,86.63,59.70
H,2.76,2.97,3.00,3.02,3.04,3.07,3.28,3.32
O,7.36,4.28,3.98,3.69,3.32,2.88,0.02,7.24
N,0.90,1.36,1.41,1.45,1.51,1.57,2.00,1.33
S,1.03,3.03,3.22,3.41,3.65,3.94,5.80,2.84
Proximate,,,,,,,,
analysis (ar),,,,,,,,
Moisture,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Ashes,45.67,26.60,24.78,22.97,20.70,17.97,0.27,23.56
Fixed carbon,52.33,71.40,73.22,75.03,77.30,80.03,97.73,74.44
Volatiles,19.60,17.67,17.48,17.30,17.07,16.79,15.00,23.04
LHVdry (MJ/kg),15.75,23.10,23.80,24.51,25.38,26.43,33.26,23.10
