0,1
ISSN: 2252-8792,
Table 1. Ultimate and proximate analysis of timber & wood waste [11],
Proximate analysis,
Proximate analysis (wt%),
Moisture,5.01
Volatile matter (VM),93.06
Fixed carbon (FC),6.38
Ash,0.56
Ultimate analysis,
Elemental analysis (wt%- dry basis),
C,56.8
H,7.28
N,0.18
Cl,0.82
S,0.07
O,34.29
