0,1,2,3,4
Table 3.1. Elemental analyses and water content determinations of the pyrolysis oils and sugar,,,,
,,stream used.a,,
(wt%),Beech wood,Pine wood,‘Light’ sugar,‘Heavy’ sugar
,pyrolysis oil,pyrolysis oil,waste stream,waste stream
C,38.4,34.1 - 39.9,36.6,37.2
H,8.0,7.7 - 8.4,6.7,7.1
Rest,53.6,51.8 - 58.2,56.6,53.0
H2O,32.0,29.7 - 34.1,15.4,12.7
