0,1,2,3,4,5,6,7,8,9
,1,2,3,4,5,6,7,8,9
Temperature (°C),6,850,6,232,6,"1,195","1,195","1,000","1,178"
Pressure (bar),0.90,0.90,0.90,1.08,0.90,1.01,0.93,1.51,0.90
Mass Flow (kg/h),"295,277","7,865,500","3,275,700","3,275,700","1,659","8,293,430","11,153,000","75,539","798,748"
Enthalpy (kJ/kg),"-5,468","-9,583",-78,153,"-10,812","-9,598","-6,833","-8,547","-8,114"
Vapor-Liquid Components (kg/h),,,,,,,,,
CO2,0,0,"1,497","1,497",0,0,"14,206","56,806","590,778"
H2,0,0,0,0,0,0,0,0,0
H2O,0,0,"13,071","13,071",0,0,"15,809","17,583","182,862"
N2,0,0,"2,464,104","2,464,104",0,0,"2,462,999",223,"2,315"
O2,0,0,"754,907","754,907",0,0,"309,488",496,"5,155"
Ar,0,0,"42,118","42,118",0,0,"42,118",0,0
SO2,0,0,0,0,0,0,366,424,"4,414"
Solid Components (kg/h),,,,,,,,,
Fe,0,"238,676",0,0,0,0,0,0,0
Fe0.947O,0,"3,466,487",0,0,0,0,0,0,0
Fe3O4,0,0,0,0,0,0,0,0,0
Fe2O3,0,0,0,0,829,"4,146,626","4,146,626",0,0
Fe0.877S,0,384,0,0,0,0,0,0,0
Al2O3,0,"4,146,720",0,0,829,"4,146,720","4,146,720",0,0
C,0,"1,054",0,0,0,0,0,0,"1,054"
Coal,"295,277",0,0,0,0,0,0,0,0
Ash,0,"12,092",0,0,0,0,"12,092",0,"12,092"
