0,1,2,3,4,5
Table 6.1 Syngas flow and composition,,,,,
Component,Vol %,m3/h,Mol Kg/h,lbmol/h,lb/h
H2,30.76,21130,952,2094,4188
CO,66.61,45758,2061,4535,126967
CH4,0.10,66,3,7,105
CO2,1.00,690,31,68,3009
H2O,0.68,464,21,46,828
N2,0.58,397,18,39,1102
Ar,0.27,188,8,19,819
Totals,100.00,68693,3086,6807,137019
