0,1
"Table 8.2: Ultimate and proximate analysis of wood pellets (ECN-Biomass, 2010). The LHV",
is calculated by QVALNET property set from Aspen Plus.,
% mass basis (dry),Wood pellets
Ultimate analysis,
C,50.12
H,6.07
O,43.20
N,0.09
S,0.01
Cl,0.01
Proximate analysis,
Moisture,8.50
Ashes,0.50
Fixed carbon,18.00
Volatiles,81.5
LHVdry (MJ/kg),21.80
