0,1,2,3
feeds  are  shown,"in  Table  2,  Table  3and  Table  4",,
respectively.,,,
,Table 2 - Proximate analysis,,
Component,Chips,Flakes,Pellets
Moisture %,35.19,11.01,7.56
Volatile dry %,82.28,86.15,87.23
Fixed Carbon,17.26,13.32,12.39
dry %,,,
Ash dry %,0.46,0.53,0.38
