0,1,2,3,4,5,6,7
"Test 
#",O2,N2,H2,CO,CO2,CH4,Total
1,1,-,48,10,19,22,100
2,0.2,6,35.4,24,17.3,12.1,92
3,1,-,25,9,28,32,95
