0,1,2,3,4,5,6
,TABLE I: PROXIMATE AND ULTIMATE ANALYSIS OF FUELS (%DRY),,,,,
,,Raw materials,,,Biochars,
,NIP,COR,SAW,NIP,COR,SAW
Volatiles,76.7,79.4,84.8,,,
Fixed carbon,17.4,15.7,14.7,79.2,82.4,97.8
Ash,5.9,4.9,0.5,20.8,17.6,2.2
C,47.7,41.6,46.2,63.2,65.6,56.3
H,6.8,6.0,6.4,1.8,1.8,2.0
N,0.2,1.1,-,1.0,0.6,-
O,39.3,46.2,46.9,13.2,14.3,39.5
S,0.07,0.24,-,-,-,-
GCV (MJ/kg),21.1,16.4,17.4,27.7,27.5,16.1
