0,1,2,3,4,5,6,7
CO2,Gas monitor,Vol%,25.2,21.9,22.4,23.2,23.3
CH4,Gas monitor,Vol%,8.8,9.1,9.2,11.3,11.7
N2,Gas monitor,Vol%,1.2,1.4,1.3,1.4,1.6
C2H2,micro GC,Vol%,0.03,0.14,0.14,<0.001,<0.001
C2H4,micro GC,Vol%,1.6,1.7,1.7,<0.001,<0.001
C2H6,micro GC,Vol%,0.05,0.06,0.06,2.37,2.49
Benzene,micro GC,ppmV,6022,4684,4746,86,13
Toluene,micro GC,ppmV,211,320,232,<10,<10
Sum C3,GC-FID,ppmV,85,113,103,291,323
Sum C4,GC-FID,ppmV,87,16,185,106,37
Sum C5,GC-FID,ppmV,51,1,83,17,63
Sum C6,GC-FID,ppmV,7,19,18,<1,8
H2S,S-GC,ppmV,115,89,<0.5,7,<0.5
COS,S-GC,ppmV,4,6,0.8,<0.5,<0.5
Other S-,S-GC,ppmV,3,4,2,<0.5,<0.5
Ne tracer,,,,,,,
,micro GC,ppmV,-,898,935,932,964
gas,,,,,,,
Ar tracer,,,,,,,
,micro GC,Vol%,1.4,1.5,1.4,1.6,1.6
gas,,,,,,,
Tar,,,,,,,
,SPA,g/Nm3,13.1,nd,nd,nd,nd
content*,,,,,,,
