0,1,2,3,4,5,6,7,8
Biomass,Proximate Analysis (% weight),,,,Ultimate analysis (weight %),,,
,"Moisture 
Content","Volatile 
Matter","Fixed 
Carbon","Ash 
Content",C,H,N,S
Grass,6.03,78.21,0.22,0.79,41.64,5.99,3.16,0.14
CS,11.34,70.66,18.14,1.08,47.28,6.27,1.32,0.16
