0,1,2,3,4,5,6
Page 40 - Step 40,,,,,,
Product Gas,,,,,,
To t al g as  flo w 6792.78 lb mol/hr,,,,,,
,Mo l w t,Mo l frac t io n,Lb / h r,Dust,,
CO,28.010,0.67,126965.30,,lb / h r,w t . %
H2,2.016,0.31,4192.03,C,589.05,35.00%
H2O,18.015,6.64E-03,811.99,S,76.58,4.55%
N2,28.014,5.79E-03,1101.97,P,8.00,0.48%
H2S,34.082,5.51E-03,1276.52,F e,925.65,55.00%
CO2,44.010,3.96E-03,1184.16,Zn,3.50,0.21%
Ar,39.947,2.71E-03,735.61,,Su b t o t a 1602.78,95.23%
CH4,16.043,9.33E-04,101.69,Slag,80.22,4.77%
COS,60.076,4.19E-04,170.92,To t al,1683.00,100.00%
KCl,74.550,1.80E-04,91.10,,,
HCl,36.460,8.32E-05,20.60,,Notes on gas composition,
HCN,27.026,8.05E-05,14.78,,,
HS,33.074,5.70E-05,12.81,,1)  Wit h  e x c e p t io n s  n o t e d,
KBO2,81.907,5.13E-05,28.57,,b e lo w  ig n o re  an y,
H,1.008,2.65E-05,0.18,c o m p o n e n t,,
HF,20.006,2.36E-05,3.21,,,
,,,,,"2)  As s u m e  C S, H & HS",
K,39.097,1.76E-05,4.68,,,
,,,,,"b e c o m e  C S 2, H 2 an d  H 2S",
NH3,17.030,1.44E-05,1.67,,,
CS2,76.142,1.12E-05,5.82,,,
,,,,,3)  B aC l 2 m ay  p o s e,
HBO2,43.818,1.06E-05,3.16,,,
,,,,,e n v iro n m e n t al p ro b le m,
S2,64.132,6.33E-06,2.76,,,
C2H2,26.038,6.28E-06,1.11,,,
,,,,,"4)  P b , P b S, As H 3, As N , As S,",
H2CO,30.026,5.19E-06,1.06,,,
,,,,,"C d , Hg , an d  P b H m ay",
NaCl,58.443,3.53E-06,1.40,,,
,,,,re m ain,,
CS,44.076,3.29E-06,0.98,,,
,,,,,t o t ally  o r p art ially  in  t h e,
KOH,56.105,2.72E-06,1.04,,,
KCN,65.117,2.52E-06,1.12,,,
CH3,15.035,2.00E-06,0.20,,5)  F o r  d e s ig n  p u rp o s e s,
C2H4,28.054,1.72E-06,0.33,,as s u m e  t h at  t h e  m ax im u m,
Na,22.990,1.35E-06,0.21,,"H 2S le v e l  is  0.60% v , C O2",
H2S2,66.145,1.16E-06,0.52,,is  1.0% v  an d  Ar is 0.30% v,
CHP,43.992,1.14E-06,0.34,,,
HBO,27.817,1.12E-06,0.21,,,
