0,1,2,3,4,5,6
Table 19. CFBR Operating Conditions,,,,,,
,,,,Oxygen,Coal,
,Average Bed,Steam,Air Flow,Flow,Feed,
est,"Temperature,","Flow,","Rate,","Rate,","Rate,","SGV,"
Number,°C,g/hr,slpm,slpm,kg/hr,m/s
1,755,475,56.6,0.0,2.31,0.236
2,747,914,70.3,0.0,2.68,0.241
3,792,469,52.4,0.0,2.04,0.242
4,795,907,75.5,0.0,2.39,0.237
5,842,911,72.7,0.0,2.43,0.227
6,828,488,51.9,0.0,2.16,0.221
7,748,1468,0.0,15.6,2.47,0.242
8,745,1833,0.0,19.8,2.52,0.241
9,792,1826,0.0,19.8,2.55,0.235
10,792,1483,0.0,15.6,2.28,0.234
11,846,1838,0.0,19.8,2.50,0.249
12,833,1551,0.0,15.6,2.43,"T
0.244"
