0,1,2,3,4
,Table 1. Characterization of Usibelli coal and wood waste biomass.,,,
,Usibelli coal,,Biomass,
,As received,Dry,As received,Dry
,Proximate analysis (% by weight),,,
Moisture,26.93,0.00,7.15,0.00
Volatile matter,35.43,48.47,77.90,83.90
Ash,7.83,10.72,1.40,1.51
Fixed Carbon (by difference),29.82,40.81,13.55,14.59
,Ultimate analysis (% by weight),,,
Total carbon,45.35,62.06,47.16,50.79
Hydrogen,3.60,4.93,5.67,6.11
Nitrogen,0.53,0.72,0.25,0.27
Sulfur,0.24,0.33,0.03,0.03
Oxygen (by difference),15.52,21.24,38.34,41.29
