0,1,2,3,4,5,6,7,8,9,10,11,12
Table 36. Combustion Efficiency,,,,,,,,,,,,
Test No:,1,2,3,4,5,6,7,8,9,10,11,12
Input,,,,,,,,,,,,
"Fuel Feed Rate, kg/hr",401.9,383.3,362.0,367.9,375.6,379.2,360.2,359.7,351.1,364.7,352.4,449.5
"Fuel Carbon, %",15.3,15.3,15.3,15.3,15.3,14.8,14.8,14.8,16.4,16.4,15.8,12.1
"Carbon Feed Rate, kg/hr",61.5,58.6,55.3,56.2,57.4,56.1,53.3,53.3,57.6,59.8,55.7,54.3
"Total, kg/hr",61.5,58.6,55.3,56.2,57.4,56.1,53.3,53.3,57.6,59.8,55.7,54.3
Output,,,,,,,,,,,,
"Bottom Ash Discharge Rate, kg/hr",52.2,72.1,88.0,88.0,87.5,102.1,140.2,99.8,103.0,105.2,60.8,110.7
"Unburned Carbon, %",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.8,0.8
"Bottom Ash Carbon Discharge Rate, kg/hr",0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.4,0.4,0.5,0.9
"Cyclone Ash Discharge Rate, kg/hr",86.2,66.7,53.1,87.5,80.7,61.2,77.1,67.1,38.1,59.9,72.1,62.1
"Unburned Carbon, %",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9
"Cyclone Ash Carbon Discharge Rate, kg/hr",0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.6,0.5
"Baghouse Discharge Rate, kg/hr",13.6,18.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,10.9,10.9,10.9
"Unburned Carbon, %",1.1,1.1,1.1,1.1,1.1,0.8,0.8,0.8,0.9,0.9,0.8,0.7
"Baghouse Carbon Discharge Rate, kg/hr",0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Total, kg/hr",0.6,0.6,0.6,0.7,0.7,0.8,1.0,0.8,0.7,0.5,0.6,0.9
"Combustion Efficiency, %",99.0,98.92,98.95,98.95,98.81,98.66,98.18,98.56,98.84,99.15,98.98,98.27
