0,1,2,3
DRY TAIL GAS (TO NEXT STAGE),,,
,Flows,,
,nm3/h,scfd,Mol %
H2,5839,5230963,43.41
CO,4479,4012721,33.30
CO2,801,717964,5.96
H2O,0,0,0.00
INERTS,585,524038,4.35
CH4,1583,1418142,11.77
C2-C4,163,145969,1.21
TOT,13451,1.20E+07,100.00
