0,1,2,3
"temperature, 800 °C and CO2 flow rate of 6.0 g h-1)",,,
,,,simulated mixture of
,,,plastics
Catalyst,,sand,Ni-Co-Al
Product yield (wt. %),,,
Gas,,87.6,97.1
Liquid,,1.4,0.6
Residue,,1.0,0.6
Carbon deposition,,5.5,1.7
Mass balance,,95.5,99.9
Syngas yield (mmolsyngas g-1,swp),,
H2 + CO production,,91.3,148.6
H2:CO molar ratio,,0.5,0.5
