0,1
"Table 5.1: Analysis of the microalgae ""Chlorella Vulgaris"" (from supplier).",
Properties,
moisture content (wt%),92.7
dry solid content (wt%),7.3
"Chemical composition (wt%)a ,b",
crude protein,50
crude fat,13
crude ﬁber,15
ash,7
Elemental composition of organic (wt%),
C,45.8
H,7.9
N,7.5
Oc,38.7
"Mineral content (g/kg)a ,b",
Ca,43
P,12.9
Na,1.1
K,7.1
Mg,6.1
Total amino acids (mg/kg)a,246.2
a As given by supplier. b On a solid basis.,
