0,1,2,3,4,5,6,7,8,9,10,11,12
Feedstock,Ultimate Analysis (%),,,,,H/C,O/C,Proximate Analysis (%),,,,HHV(MJ/kg)
,C,H,N,S,O*,,,MC,VM,FC*,Ash,
Wood,43.54,3.59,0.31,0.08,51.70,0.99,0.89,4.25,88.58,6.02,1.16,17.53
"Coconut 
Shells",46.93,3.96,1.33,0.25,48.21,1.01,0.77,2.29,82.09,14.79,0.83,19.43
