0,1,2,3,4
,temperature 950 °C and steam: biomass ratio 1.37).,,,
,,,Particle size (mm),
,0.2 – 0.5,0.5 - 1.0,1.4 – 2.8,2.8 – 3.3
H2 (mmoles g-1 rice husk),29.13,26.74,25.44,25.05
H2/CO,3.54,2.7,2.59,2.76
CO/CO2,0.99,1.41,1.41,1.24
H2/CO2,3.51,3.82,3.64,3.42
H2/CH4,58.39,44.22,33.24,36.75
CH4/CO,0.06,0.06,0.08,0.08
CH4/CO2,0.06,0.09,0.11,0.09
Mass balance (wt.%),,,,
Gas / (biomass + water),27.09,27.44,26.3,26.13
Solid / (biomass + water),14.11,13.32,13.02,13
Mass balance,93.14,92.34,96.65,94.81
Gas / (biomass),66.24,64.89,63.64,63.83
Solid / (biomass),34.5,31.5,31.5,31.75
