0,1,2,3,4,5,6,7,8,9
,1,2,3,4,5,6,7,8,9
Temperature (°C),15,850,15,213,15,"1,195","1,195","1,000","1,176"
Pressure (bar),1.01,1.01,1.01,1.20,1.01,1.01,1.05,1.63,1.01
Mass Flow (kg/h),"209,608","6,081,380","2,611,980","2,611,980","1,295","6,473,570","8,703,280","73,046","674,844"
Enthalpy (kJ/kg),"-2,116","-9,510",-98,104,"-10,805","-9,598","-6,853","-8,364","-7,928"
Vapor-Liquid Components (kg/h),,,,,,,,,
CO2,0,0,"1,195","1,195",0,0,"17,640","58,581","531,199"
H2,0,0,0,0,0,0,0,0,0
H2O,0,0,"16,144","16,144",0,0,"17,954","13,318","120,768"
N2,0,0,"1,960,636","1,960,636",0,0,"1,959,902",324,"2,941"
O2,0,0,"600,734","600,734",0,0,"181,215",407,"3,689"
Ar,0,0,"33,268","33,268",0,0,"33,268",0,0
SO2,0,0,0,0,0,0,"7,764",334,"3,027"
Solid Components (kg/h),,,,,,,,,
Fe,0,"392,660",0,0,0,0,0,0,0
Fe0.947O,0,"2,429,496",0,0,0,0,0,0,0
Fe3O4,0,0,0,0,0,0,0,0,0
Fe2O3,0,0,0,0,647,"3,236,716","3,236,716",0,0
Fe0.877S,0,"9,879",0,0,0,0,0,0,0
Al2O3,0,"3,236,790",0,0,647,"3,236,790","3,236,790",0,0
C,0,"2,316",0,0,0,0,0,0,"2,316"
Coal,"209,608",0,0,0,0,0,0,0,0
Ash,0,"10,166",0,0,0,0,"10,166",0,"10,166"
