0,1,2
,"Ultimate Analysis 
(Weight percent, dry basis)",
I,"Biomass 
I","Char 
I"
Carbon,50.88,65.2
Oxygen,41.90,3.03
Hydrogen,6.04,3.70
Nitrogen,0.17,2.47
Sulfur,0.09,28.65
I Chlorine,1 0,l o
I Ash,I 0.92,I 3.04
