0,1,2
Analysis,Typical Coal,Petroleum Coke
,,
"Nitrogen, vol %",1.9,1.9
"Argon, vol %",0.6,0.6
"CO2, vol %",15.8,15.4
"CO, vol%",45.3,48.6
"H2, vol %",34.4,33.2
"CH4, vol %",1.9,0.5
"Total Sulfur, ppmv",68,69
"HHV, Btu/SCF",277,268
