0,1,2,3,4,5,6,7,8,9
,,,,,,,a,,
Table 5. Flow Rates and Gas Composition (v/v) of a Methanol Production Process Based on TR,,,,,,,,,
,,,,,,composition (vol %),,,
process stream,ﬂow rateb (Kmol/h),CH4,CO2,CO,H2,H2O,CH3OH,N2,C2H6
3,5395,1.2,9.6,25.6,63.5,,,,
4c,6400,1.0,8.0,21.6,69.2,,,,
5,24 208,17.3,6.4,7.4,68.9,,,,
6,21 044,19.9,5.0,2.0,63.7,1.9,7.5,,
7,19 066,22.0,5.5,2.2,7.03,,,,
8,1005,,,,100,,,,
9,18 061,23.2,5.8,2.3,68.7,,,,
10,17 808,23.2,5.8,2.3,68.7,,,,
11,253,23.2,5.8,2.3,68.7,,,,
12d,270,95.3,0.6,0.0,0.0,,,1.1,2.0
13,523,60.4,3.1,1.1,33.2,,,0.6,1.0
aThe stream identiﬁcation numbers correspond to Figure 1. bOn the basis of a feed ﬂow rate (CH4 + CO2) of 1966 Kmol/h. cR = 2.3. dNG needed,,,,,,,,,
