0,1,2
Composition,"Case 1, vol %","Case 2, vol %"
Hydrogen,57.80,48.55
Carbon Monoxide,1.01,23.25
Carbon Dioxide,39.89,26.70
Methane,0.06,0.07
Hydrogen Sulfide,0.39,0.46
Carbonyl Sulfide,0.00,0.01
Ammonia,0.00,0.00
Hydrogen Cyanide,0.00,0.00
Hydrogen Chloride,0.00,0.00
Argon,0.18,0.22
Nitrogen,0.35,0.43
Water,0.32,0.30
Flow rate,"11,235.72 lbmol/hr","9,203.17 lbmol/hr"
Temperature,110 °F,110 °F
Pressure,312 psig,342 psig
