0,1,2,3,4
Biomass,Moisture,Volatile,Ash,"Fixed 
carbon"
Sawdust,7.3,63.9,3.6,25.2
Rice straw,8.6,52.2,16.7,22.5
Rice bristles,9.1,53.6,12.6,24.7
Coffee ground,7.3,67.1,1.5,24.1
Waste wood,7.6,59.6,7.7,25.1
