0,1,2,3,4,5
,Table 11. Published Fuel Gas Compositions for Selected Gasifier Technology on,,,,
Lignites,,,,,
mol%,E-Gas,Shell,HTW,KRW,U-Gas
CO,21.8,60.6,,39,17
H2,24.6,27.6,33.1,25.5,12
CO2,17.2,2.8,28.3,30.8,9
CH4,0.1,0.03,15.5,4.0,3
H2O,34.6,3.2,4.6,,10
N2,0.5,4.3,16.8,0.6,49
Ar,0.8,1.0,0.6,0.1,
"H2S, ppm",3000,3250,0.7,1600,
"COS, ppm",128,310,2120,110,
