0,1,2,3
Order,H2,CH4,CO
1,"137,827","25,946","11,919"
2,"134,048","25,948","10,453"
3,"133,603","25,990","11,269"
Mean,"135,159","25,961","11,214"
SD,"2,321",25,735
RSE (%),0.99,0.06,3.78
