0,1,2
850,1816,0
"Table 15. Proximate, Ultimate, and HHV1 for",,
Coal Composite,,
"Proximate, as run, wt%",,
Moisture,,22.90
Volatile Matter,,23.46
Fixed Carbon,,16.15
Ash,,37.49
"Ultimate, as run, wt%",,
Carbon,,25.48
Hydrogen,,5.12
Nitrogen,,1.59
Sulfur,,0.94
Oxygen,,30.38
Ash,,37.49
"HHV, kJ/kg",,
"As Run, kJ/kg",,9387
"MF,2 kJ/kg",,12180
1  Higher heating value.,,
2  Moisture-free.,,
