0,1,2,3,4,5
,,,Catalyst system,,
,LTS,HTS,SGS,Fe-FT,Co-FT
Component [vol%],,,,,
H2,36.1,17.7,21.3,41.3,42.7
CO,4.6,23.0,27.7,24.3,21.3
CO2,29,10.6,12.8,29.9,31.6
CH4,2.8,2.8,3.4,4.5,4.4
H2O,27.5,45.9,34.9,0,0
H2S,0,0,100 ppmv,0,0
Temperature [°C],200,375,250,250,210
Pressure [psig],500,500,500,350,350
Space velocity at STP [h-1],"10,000","10,000","10,000","3,000","3,000"
