0,1,2,3,4
Syngas Type,GHSV,"C-Balance 
(%)","H-Balance 
(%)","O-Balance 
(%)"
Shell,3000,1.3,3.8,0.7
Shell,6000,0.9,2.6,0.5
Kingsport,6000,0.5,0.2,0.2
Kingsport,9000,0.3,0.2,0.2
CO2-Rich,6000,0.3,0.1,0.1
