0,1,2,3
Properties,This work,[3],[5]
"Proximate 
analysis 
(wt.%)",,,
Moisture,8.60,8.80,0.83
Ash,5.22,11.20,3.72
Volatile matter,74.70,65.00,76.21
Fixed carbon,12.02,15.00,20.08
Ultimate analysis (wt.%),,,
C,37.60,49.50,52.33
H,5.41,6.50,5.95
N,0.37,1.10,1.03
S,0.15,–,0.08
O,37.50,42.90,40.62
Other*,18.97,–,–
