0,1,2,3
Component,Chips,Flakes,Pellets
Moisture %,35.19,11.01,7.56
Volatile dry %,82.28,86.15,87.23
"Fixed Carbon 
dry %",17.26,13.32,12.39
Ash dry %,0.46,0.53,0.38
