0,1,2,3,4,5,6,7,8,9
,International Journal of Energy and Environmental Engineering (2019) 10:335–346,,,,,,,,343
Table 4,Input and output streams to the tail of gasifier unit and to the indirect heat exchanger for test V,,,,,,,,
,Test V,,,,Test VI,,,,
,Gasification,Gasification,Exhaust gas in,Exhaust gas out,Gasification,Gasification,Exhaust gas in,,Exhaust gas out
,stream in,stream out,,,stream in,stream out,,,
T (°C),820,790,1151,900,765,761,1215,900,
P (bar),1,1,1,1,1,1,1,1,
Total flow,64.38,64.38,(83.63),(83.63),49.60,49.60,(73.12),(73.12),
kg/h,,,,,,,,,
(Nm3/h),,,,,,,,,
Comp unit,kg/h,kg/h,mol frac %,mol frac %,kg/h,kg/h,mol frac %,mol frac %,
N2,29.98,29.98,74.9,74.2,22.31,22.31,73.2,73.2,
O2,,,4.0,4.0,,,4.0,4.0,
CO,5.34,10.13,,,4.53,10.27,,,
CO2,10.43,9.35,13.3,13.3,10.13,7.47,14.3,14.3,
C,2.2,1.28,,,3.22,2.35,,,
H2,0.32,0.83,,,0.29,0.73,,,
CH4,0.80,0,,,0.85,,,,
H2O,6.20,4.00,7.8,7.8,4.1,2.58,8.6,8.6,
C2H6,0.31,0,,,0.29,0,,,
CaO,8.8,8.8,,,3.73,3.73,,,
