0,1,2,3,4,5,6,7,8
Table 6. Main stream results for the double-stage fermentation.,,,,,,,,
Stream No,8,9,10,11,12,13,14,15
Mass flow (kg/s),12.89,84.97,72.08,2.81,6.37,193.06,203.81,21.75
Temp (°C),55,55,55,30,30,55,30,30
Press (bar),5,5,5,1,1,5,1,1
,,,Composition (vol. %),,,,Composition (wt. %),
H2,53.38,28.81,21.06,-,-,-,-,-
CO,24.85,9.61,4.81,-,-,-,-,-
CO2,18.80,47.48,56.52,-,95.5,-,0.2,0.1
H2O,1.57,1.38,1.32,-,4.3,1,95.7,90.9
N2,0.1,0.98,1.26,-,0.2,-,-,-
H2S,64 ppm,120 ppm,150 ppm,-,-,-,-,-
CH4,1.27,11.69,14.97,-,-,-,-,-
NH3,112 ppm,28 ppm,-,-,-,-,-,-
O2,-,-,-,1,-,-,-,-
